"retrieval_time","user_name","host_name","licenses_used_by_user","is_reservation","licenses_total","licenses_total_in_use","feature_name","feature_version","daemon_name","server_master_port","server_master_host","server_port","server_host"
"1/25/2021 16:41","s092639","ITE00451559","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J54695","ITE00465053","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s383045","ITE00535324","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J95579","ITE00518340","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s380702","ITE00499122","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M55562","ITE00513092","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s380604","ITE00510951","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M26369","ITE00479433","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s113357","ITE00471830","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","s380768","ITE00427544","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","G68149","ITE00448030","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M40458","ITE00530274","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J66960","ITE00443052","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J55228","ITE00432290","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J16540","ITE00421630","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M46078","ITE00515961","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","M24482","ITE00396647","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
"1/25/2021 16:41","J67142","ITE00465272","1","","112","65","CAI","5.28","Dassault Systemes","","","4084","sarebraslic81"
